date,store_nbr,family,sales,onpromotion
2016-02-24,1,DAIRY,911.0,0
2016-02-24,1,GROCERY I,2807.0,35
2016-02-25,1,BEVERAGES,1854.0,7
2016-02-25,1,DAIRY,621.0,0
2016-02-25,1,GROCERY I,2084.0,4
2016-02-26,1,BEVERAGES,2171.0,51
2016-02-26,1,DAIRY,803.0,5
2016-02-26,1,GROCERY I,2563.0,11
2016-02-27,1,BEVERAGES,2471.0,56
2016-02-27,1,DAIRY,851.0,2
2016-02-27,1,GROCERY I,2500.0,12
2016-02-28,1,BEVERAGES,904.0,44
2016-02-28,1,DAIRY,355.0,1
2016-02-28,1,GROCERY I,903.0,7
2016-02-29,1,BEVERAGES,2282.0,19
2016-02-29,1,DAIRY,776.0,1
2016-02-29,1,GROCERY I,2448.0,13
2016-03-01,1,BEVERAGES,2371.0,15
2016-03-01,1,DAIRY,838.0,3
2016-03-01,1,GROCERY I,2808.0,13
2016-03-02,1,BEVERAGES,2432.0,15
2016-03-02,1,DAIRY,921.0,3
2016-03-02,1,GROCERY I,3137.0,19
2016-03-03,1,BEVERAGES,2013.0,16
2016-03-03,1,DAIRY,752.0,5
2016-03-03,1,GROCERY I,2303.0,15
2016-03-04,1,BEVERAGES,2342.0,16
2016-03-04,1,DAIRY,862.0,10
2016-03-04,1,GROCERY I,3587.0,15
2016-03-05,1,BEVERAGES,2562.0,17
2016-03-05,1,DAIRY,925.0,7
2016-03-05,1,GROCERY I,2878.0,19
2016-03-06,1,BEVERAGES,1048.0,11
2016-03-06,1,DAIRY,404.0,5
2016-03-06,1,GROCERY I,1365.0,12
2016-03-07,1,BEVERAGES,2165.0,11
2016-03-07,1,DAIRY,789.0,6
2016-03-07,1,GROCERY I,2596.0,15
2016-03-08,1,BEVERAGES,2027.0,0
2016-03-08,1,DAIRY,641.0,0
2016-03-08,1,GROCERY I,2531.0,0
2016-03-09,1,BEVERAGES,2224.0,10
2016-03-09,1,DAIRY,902.0,5
2016-03-09,1,GROCERY I,2750.0,19
2016-03-10,1,BEVERAGES,1897.0,9
2016-03-10,1,DAIRY,689.0,3
2016-03-10,1,GROCERY I,2196.0,13
2016-03-11,1,BEVERAGES,2208.0,13
2016-03-11,1,DAIRY,839.0,16
2016-03-11,1,GROCERY I,2714.0,19
2016-03-12,1,BEVERAGES,2362.0,11
2016-03-12,1,DAIRY,861.0,10
2016-03-12,1,GROCERY I,2678.0,18
2016-03-13,1,BEVERAGES,970.0,7
2016-03-13,1,DAIRY,438.0,7
2016-03-13,1,GROCERY I,1134.0,12
2016-03-14,1,BEVERAGES,2238.0,13
2016-03-14,1,DAIRY,782.0,8
2016-03-14,1,GROCERY I,2266.0,18
2016-03-15,1,BEVERAGES,2049.0,16
2016-03-15,1,DAIRY,630.0,5
2016-03-15,1,GROCERY I,2986.0,19
2016-03-16,1,BEVERAGES,2329.0,10
2016-03-16,1,DAIRY,923.0,15
2016-03-16,1,GROCERY I,3039.0,19
2016-03-17,1,BEVERAGES,2101.0,10
2016-03-17,1,DAIRY,708.0,11
2016-03-17,1,GROCERY I,2427.0,44
2016-03-18,1,BEVERAGES,2224.0,8
2016-03-18,1,DAIRY,835.0,7
2016-03-18,1,GROCERY I,2478.0,24
2016-03-19,1,BEVERAGES,2302.0,7
2016-03-19,1,DAIRY,924.0,13
2016-03-19,1,GROCERY I,2514.0,24
2016-03-20,1,BEVERAGES,1067.0,3
2016-03-20,1,DAIRY,378.0,7
2016-03-20,1,GROCERY I,1313.0,16
2016-03-21,1,BEVERAGES,2149.0,3
2016-03-21,1,DAIRY,756.0,13
2016-03-21,1,GROCERY I,2456.0,29
2016-03-22,1,BEVERAGES,1991.0,6
2016-03-22,1,DAIRY,750.0,6
2016-03-22,1,GROCERY I,2356.0,23
2016-03-23,1,BEVERAGES,2208.0,6
2016-03-23,1,DAIRY,993.0,3
2016-03-23,1,GROCERY I,2774.0,28
2016-03-24,1,BEVERAGES,2653.0,7
2016-03-24,1,DAIRY,963.0,1
2016-03-24,1,GROCERY I,2941.0,31
2016-03-25,1,BEVERAGES,899.0,4
2016-03-25,1,DAIRY,317.0,0
2016-03-25,1,GROCERY I,824.0,19
2016-03-26,1,BEVERAGES,1723.0,8
2016-03-26,1,DAIRY,550.0,0
2016-03-26,1,GROCERY I,1748.0,27
2016-03-27,1,BEVERAGES,862.0,1
2016-03-27,1,DAIRY,313.0,1
2016-03-27,1,GROCERY I,977.0,19
2016-03-28,1,BEVERAGES,1986.0,6
2016-03-28,1,DAIRY,796.0,0
2016-03-28,1,GROCERY I,2309.0,28
2016-03-29,1,BEVERAGES,2223.0,5
2016-03-29,1,DAIRY,765.0,1
2016-03-29,1,GROCERY I,2698.0,27
2016-03-30,1,BEVERAGES,2163.0,6
2016-03-30,1,DAIRY,851.0,2
2016-03-30,1,GROCERY I,2632.0,24
2016-03-31,1,BEVERAGES,2051.0,6
2016-03-31,1,DAIRY,668.0,0
2016-03-31,1,GROCERY I,2407.0,24
2016-04-01,1,BEVERAGES,2274.0,8
2016-04-01,1,DAIRY,868.0,0
2016-04-01,1,GROCERY I,3554.0,27
2016-04-02,1,BEVERAGES,2317.0,2
2016-04-02,1,DAIRY,895.0,0
2016-04-02,1,GROCERY I,3028.0,23
2016-04-03,1,BEVERAGES,1112.0,2
2016-04-03,1,DAIRY,418.0,2
2016-04-03,1,GROCERY I,1319.0,18
2016-04-04,1,BEVERAGES,2067.0,4
2016-04-04,1,DAIRY,839.0,1
2016-04-04,1,GROCERY I,2792.0,26
2016-04-05,1,BEVERAGES,1897.0,5
2016-04-05,1,DAIRY,827.0,1
2016-04-05,1,GROCERY I,2657.0,20
2016-04-06,1,BEVERAGES,2196.0,6
2016-04-06,1,DAIRY,890.0,2
2016-04-06,1,GROCERY I,2784.0,28
2016-04-07,1,BEVERAGES,2041.0,31
2016-04-07,1,DAIRY,771.0,0
2016-04-07,1,GROCERY I,2625.0,49
2016-04-08,1,BEVERAGES,2262.0,41
2016-04-08,1,DAIRY,840.0,0
2016-04-08,1,GROCERY I,2486.0,67
2016-04-09,1,BEVERAGES,2227.0,42
2016-04-09,1,DAIRY,829.0,0
2016-04-09,1,GROCERY I,2523.0,51
2016-04-10,1,BEVERAGES,1059.0,30
2016-04-10,1,DAIRY,348.0,0
2016-04-10,1,GROCERY I,1179.0,31
2016-04-11,1,BEVERAGES,2177.0,38
2016-04-11,1,DAIRY,707.0,2
2016-04-11,1,GROCERY I,2578.0,54
2016-04-12,1,BEVERAGES,1745.0,35
2016-04-12,1,DAIRY,680.0,0
2016-04-12,1,GROCERY I,2406.0,54
2016-04-13,1,BEVERAGES,2342.0,47
2016-04-13,1,DAIRY,841.0,1
2016-04-13,1,GROCERY I,2821.0,76
2016-04-14,1,BEVERAGES,1835.0,5
2016-04-14,1,DAIRY,671.0,0
2016-04-14,1,GROCERY I,2236.0,13
2016-04-15,1,BEVERAGES,2009.0,2
2016-04-15,1,DAIRY,811.0,0
2016-04-15,1,GROCERY I,2621.0,16
2016-04-16,1,BEVERAGES,2073.0,5
2016-04-16,1,DAIRY,795.0,2
2016-04-16,1,GROCERY I,2439.0,22
2016-04-17,1,BEVERAGES,1717.0,3
2016-04-17,1,DAIRY,418.0,0
2016-04-17,1,GROCERY I,2649.0,18
2016-04-18,1,BEVERAGES,4155.0,1
2016-04-18,1,DAIRY,848.0,1
2016-04-18,1,GROCERY I,9065.0,18
2016-04-19,1,BEVERAGES,5051.0,5
2016-04-19,1,DAIRY,779.0,1
2016-04-19,1,GROCERY I,8221.0,19
2016-04-20,1,BEVERAGES,4239.0,19
2016-04-20,1,DAIRY,962.0,35
2016-04-20,1,GROCERY I,5438.0,28
2016-04-21,1,BEVERAGES,2872.0,18
2016-04-21,1,DAIRY,765.0,34
2016-04-21,1,GROCERY I,4768.0,39
2016-04-22,1,BEVERAGES,2940.0,19
2016-04-22,1,DAIRY,883.0,34
2016-04-22,1,GROCERY I,4871.0,26
2016-04-23,1,BEVERAGES,2283.0,15
2016-04-23,1,DAIRY,831.0,36
2016-04-23,1,GROCERY I,3039.0,27
2016-04-24,1,BEVERAGES,1279.0,23
2016-04-24,1,DAIRY,405.0,23
2016-04-24,1,GROCERY I,1554.0,34
2016-04-25,1,BEVERAGES,1928.0,18
2016-04-25,1,DAIRY,728.0,36
2016-04-25,1,GROCERY I,2528.0,30
2016-04-26,1,BEVERAGES,2016.0,13
2016-04-26,1,DAIRY,746.0,38
2016-04-26,1,GROCERY I,2535.0,33
2016-04-27,1,BEVERAGES,2347.0,19
2016-04-27,1,DAIRY,862.0,38
2016-04-27,1,GROCERY I,2779.0,45
2016-04-28,1,BEVERAGES,2074.0,19
2016-04-28,1,DAIRY,660.0,35
2016-04-28,1,GROCERY I,2989.0,63
2016-04-29,1,BEVERAGES,2322.0,24
2016-04-29,1,DAIRY,895.0,38
2016-04-29,1,GROCERY I,2786.0,57
2016-04-30,1,BEVERAGES,2556.0,25
2016-04-30,1,DAIRY,888.0,38
2016-04-30,1,GROCERY I,2920.0,69
2016-05-01,1,BEVERAGES,1148.0,17
2016-05-01,1,DAIRY,468.0,30
2016-05-01,1,GROCERY I,1470.0,44
2016-05-02,1,BEVERAGES,2321.0,10
2016-05-02,1,DAIRY,934.0,2
2016-05-02,1,GROCERY I,2870.0,41
2016-05-03,1,BEVERAGES,1908.0,6
2016-05-03,1,DAIRY,789.0,1
2016-05-03,1,GROCERY I,2628.0,53
2016-05-04,1,BEVERAGES,2281.0,17
2016-05-04,1,DAIRY,1002.0,7
2016-05-04,1,GROCERY I,3279.0,63
2016-05-05,1,BEVERAGES,2076.0,14
2016-05-05,1,DAIRY,728.0,3
2016-05-05,1,GROCERY I,2977.0,59
2016-05-06,1,BEVERAGES,2642.0,7
2016-05-06,1,DAIRY,1028.0,2
2016-05-06,1,GROCERY I,2994.0,52
2016-05-07,1,BEVERAGES,2686.0,5
2016-05-07,1,DAIRY,1083.0,2
2016-05-07,1,GROCERY I,3156.0,54
2016-05-08,1,BEVERAGES,856.0,6
2016-05-08,1,DAIRY,317.0,1
2016-05-08,1,GROCERY I,852.0,36
2016-05-09,1,BEVERAGES,2135.0,9
2016-05-09,1,DAIRY,856.0,4
2016-05-09,1,GROCERY I,2969.0,54
2016-05-10,1,BEVERAGES,1747.0,7
2016-05-10,1,DAIRY,722.0,5
2016-05-10,1,GROCERY I,2279.0,50
2016-05-11,1,BEVERAGES,2101.0,15
2016-05-11,1,DAIRY,911.0,6
2016-05-11,1,GROCERY I,2897.0,34
2016-05-12,1,BEVERAGES,1792.0,10
2016-05-12,1,DAIRY,686.0,4
2016-05-12,1,GROCERY I,2423.0,34
2016-05-13,1,BEVERAGES,2185.0,11
2016-05-13,1,DAIRY,796.0,3
2016-05-13,1,GROCERY I,2783.0,29
2016-05-14,1,BEVERAGES,2145.0,11
2016-05-14,1,DAIRY,812.0,4
2016-05-14,1,GROCERY I,2713.0,26
2016-05-15,1,BEVERAGES,1103.0,6
2016-05-15,1,DAIRY,442.0,2
2016-05-15,1,GROCERY I,1183.0,16
2016-05-16,1,BEVERAGES,2342.0,17
2016-05-16,1,DAIRY,952.0,4
2016-05-16,1,GROCERY I,2893.0,27
2016-05-17,1,BEVERAGES,2116.0,9
2016-05-17,1,DAIRY,724.0,3
2016-05-17,1,GROCERY I,3123.0,30
2016-05-18,1,BEVERAGES,2128.0,11
2016-05-18,1,DAIRY,877.0,2
2016-05-18,1,GROCERY I,2898.0,35
2016-05-19,1,BEVERAGES,1839.0,8
2016-05-19,1,DAIRY,677.0,1
2016-05-19,1,GROCERY I,2249.0,31
2016-05-20,1,BEVERAGES,2212.0,15
2016-05-20,1,DAIRY,849.0,4
2016-05-20,1,GROCERY I,2523.0,43
2016-05-21,1,BEVERAGES,2202.0,9
2016-05-21,1,DAIRY,861.0,2
2016-05-21,1,GROCERY I,2700.0,28
2016-05-22,1,BEVERAGES,852.0,5
2016-05-22,1,DAIRY,349.0,2
2016-05-22,1,GROCERY I,1221.0,17
2016-05-23,1,BEVERAGES,1870.0,8
2016-05-23,1,DAIRY,806.0,1
2016-05-23,1,GROCERY I,2415.0,33
2016-05-24,1,BEVERAGES,1705.0,9
2016-05-24,1,DAIRY,658.0,3
2016-05-24,1,GROCERY I,2293.0,26
2016-05-25,1,BEVERAGES,2036.0,9
2016-05-25,1,DAIRY,841.0,2
2016-05-25,1,GROCERY I,2501.0,34
2016-05-26,1,BEVERAGES,2043.0,37
2016-05-26,1,DAIRY,719.0,3
2016-05-26,1,GROCERY I,2592.0,59
2016-05-27,1,BEVERAGES,1106.0,24
2016-05-27,1,DAIRY,367.0,2
2016-05-27,1,GROCERY I,1153.0,42
2016-05-28,1,BEVERAGES,1691.0,32
2016-05-28,1,DAIRY,602.0,2
2016-05-28,1,GROCERY I,1895.0,49
2016-05-29,1,BEVERAGES,868.0,25
2016-05-29,1,DAIRY,316.0,4
2016-05-29,1,GROCERY I,1008.0,29
2016-05-30,1,BEVERAGES,1992.0,33
2016-05-30,1,DAIRY,784.0,1
2016-05-30,1,GROCERY I,2756.0,59
2016-05-31,1,BEVERAGES,2183.0,39
2016-05-31,1,DAIRY,966.0,3
2016-05-31,1,GROCERY I,3496.0,77
2016-06-01,1,BEVERAGES,2199.0,37
2016-06-01,1,DAIRY,1007.0,3
2016-06-01,1,GROCERY I,3404.0,76
2016-06-02,1,BEVERAGES,1588.0,35
2016-06-02,1,DAIRY,805.0,2
2016-06-02,1,GROCERY I,2469.0,65
2016-06-03,1,BEVERAGES,2143.0,31
2016-06-03,1,DAIRY,833.0,0
2016-06-03,1,GROCERY I,3876.0,53
2016-06-04,1,BEVERAGES,2194.0,39
2016-06-04,1,DAIRY,828.0,1
2016-06-04,1,GROCERY I,2799.0,53
2016-06-05,1,BEVERAGES,1038.0,25
2016-06-05,1,DAIRY,391.0,1
2016-06-05,1,GROCERY I,1106.0,27
2016-06-06,1,BEVERAGES,2098.0,36
2016-06-06,1,DAIRY,801.0,2
2016-06-06,1,GROCERY I,2821.0,51
2016-06-07,1,BEVERAGES,1762.0,26
2016-06-07,1,DAIRY,671.0,2
2016-06-07,1,GROCERY I,2790.0,49
2016-06-08,1,BEVERAGES,1994.0,38
2016-06-08,1,DAIRY,886.0,4
2016-06-08,1,GROCERY I,3208.0,55
2016-06-09,1,BEVERAGES,1431.0,25
2016-06-09,1,DAIRY,675.0,4
2016-06-09,1,GROCERY I,2079.0,37
2016-06-10,1,BEVERAGES,2221.0,26
2016-06-10,1,DAIRY,848.0,3
2016-06-10,1,GROCERY I,2900.0,67
2016-06-11,1,BEVERAGES,2349.0,28
2016-06-11,1,DAIRY,800.0,4
2016-06-11,1,GROCERY I,2436.0,48
2016-06-12,1,BEVERAGES,973.0,22
2016-06-12,1,DAIRY,360.0,4
2016-06-12,1,GROCERY I,1184.0,30
2016-06-13,1,BEVERAGES,2311.0,33
2016-06-13,1,DAIRY,841.0,4
2016-06-13,1,GROCERY I,2374.0,46
2016-06-14,1,BEVERAGES,1708.0,21
2016-06-14,1,DAIRY,737.0,4
2016-06-14,1,GROCERY I,2301.0,41
2016-06-15,1,BEVERAGES,2052.0,27
2016-06-15,1,DAIRY,959.0,4
2016-06-15,1,GROCERY I,3015.0,65
2016-06-16,1,BEVERAGES,1705.0,23
2016-06-16,1,DAIRY,829.0,4
2016-06-16,1,GROCERY I,2370.0,46
2016-06-17,1,BEVERAGES,2209.0,26
2016-06-17,1,DAIRY,824.0,6
2016-06-17,1,GROCERY I,2624.0,62
2016-06-18,1,BEVERAGES,2104.0,27
2016-06-18,1,DAIRY,869.0,3
2016-06-18,1,GROCERY I,2823.0,51
2016-06-19,1,BEVERAGES,989.0,21
2016-06-19,1,DAIRY,435.0,2
2016-06-19,1,GROCERY I,1042.0,38
2016-06-20,1,BEVERAGES,2232.0,34
2016-06-20,1,DAIRY,822.0,3
2016-06-20,1,GROCERY I,2598.0,49
2016-06-21,1,BEVERAGES,1840.0,35
2016-06-21,1,DAIRY,729.0,4
2016-06-21,1,GROCERY I,2525.0,53
2016-06-22,1,BEVERAGES,2363.0,32
2016-06-22,1,DAIRY,1044.0,3
2016-06-22,1,GROCERY I,2685.0,67
2016-06-23,1,BEVERAGES,1729.0,6
2016-06-23,1,DAIRY,706.0,10
2016-06-23,1,GROCERY I,2330.0,47
2016-06-24,1,BEVERAGES,1862.0,6
2016-06-24,1,DAIRY,747.0,12
2016-06-24,1,GROCERY I,2550.0,53
2016-06-25,1,BEVERAGES,2060.0,6
2016-06-25,1,DAIRY,797.0,15
2016-06-25,1,GROCERY I,2529.0,52
2016-06-26,1,BEVERAGES,1103.0,5
2016-06-26,1,DAIRY,416.0,13
2016-06-26,1,GROCERY I,1216.0,40
2016-06-27,1,BEVERAGES,2377.0,6
2016-06-27,1,DAIRY,780.0,13
2016-06-27,1,GROCERY I,2390.0,47
2016-06-28,1,BEVERAGES,2353.0,5
2016-06-28,1,DAIRY,764.0,14
2016-06-28,1,GROCERY I,2987.0,42
2016-06-29,1,BEVERAGES,2009.0,5
2016-06-29,1,DAIRY,877.0,14
2016-06-29,1,GROCERY I,2596.0,45
2016-06-30,1,BEVERAGES,1631.0,8
2016-06-30,1,DAIRY,599.0,11
2016-06-30,1,GROCERY I,2155.0,49
2016-07-01,1,BEVERAGES,2298.0,8
2016-07-01,1,DAIRY,1013.0,8
2016-07-01,1,GROCERY I,3213.0,45
2016-07-02,1,BEVERAGES,2127.0,4
2016-07-02,1,DAIRY,762.0,7
2016-07-02,1,GROCERY I,2795.0,38
2016-07-03,1,BEVERAGES,973.0,7
2016-07-03,1,DAIRY,370.0,10
2016-07-03,1,GROCERY I,1263.0,27
2016-07-04,1,BEVERAGES,2033.0,8
2016-07-04,1,DAIRY,837.0,8
2016-07-04,1,GROCERY I,2946.0,48
2016-07-05,1,BEVERAGES,1941.0,13
2016-07-05,1,DAIRY,719.0,10
2016-07-05,1,GROCERY I,2479.0,45
2016-07-06,1,BEVERAGES,2400.0,29
2016-07-06,1,DAIRY,945.0,45
2016-07-06,1,GROCERY I,3117.0,68
2016-07-07,1,BEVERAGES,1697.0,15
2016-07-07,1,DAIRY,754.0,38
2016-07-07,1,GROCERY I,2325.0,41
2016-07-08,1,BEVERAGES,2322.0,13
2016-07-08,1,DAIRY,896.0,46
2016-07-08,1,GROCERY I,2807.0,38
2016-07-09,1,BEVERAGES,2089.0,16
2016-07-09,1,DAIRY,883.0,41
2016-07-09,1,GROCERY I,2196.0,34
2016-07-10,1,BEVERAGES,787.0,11
2016-07-10,1,DAIRY,343.0,30
2016-07-10,1,GROCERY I,1044.0,28
2016-07-11,1,BEVERAGES,2048.0,13
2016-07-11,1,DAIRY,702.0,49
2016-07-11,1,GROCERY I,2373.0,46
2016-07-12,1,BEVERAGES,1769.0,14
2016-07-12,1,DAIRY,751.0,45
2016-07-12,1,GROCERY I,2254.0,41
2016-07-13,1,BEVERAGES,2332.0,8
2016-07-13,1,DAIRY,930.0,16
2016-07-13,1,GROCERY I,2955.0,49
2016-07-14,1,BEVERAGES,1867.0,6
2016-07-14,1,DAIRY,636.0,3
2016-07-14,1,GROCERY I,2379.0,39
2016-07-15,1,BEVERAGES,2162.0,8
2016-07-15,1,DAIRY,845.0,10
2016-07-15,1,GROCERY I,3094.0,47
2016-07-16,1,BEVERAGES,2301.0,7
2016-07-16,1,DAIRY,819.0,6
2016-07-16,1,GROCERY I,2712.0,46
2016-07-17,1,BEVERAGES,982.0,5
2016-07-17,1,DAIRY,371.0,3
2016-07-17,1,GROCERY I,1070.0,29
2016-07-18,1,BEVERAGES,2066.0,9
2016-07-18,1,DAIRY,825.0,11
2016-07-18,1,GROCERY I,2540.0,35
2016-07-19,1,BEVERAGES,1875.0,6
2016-07-19,1,DAIRY,752.0,9
2016-07-19,1,GROCERY I,2457.0,39
2016-07-20,1,BEVERAGES,2086.0,9
2016-07-20,1,DAIRY,889.0,8
2016-07-20,1,GROCERY I,2843.0,52
2016-07-21,1,BEVERAGES,1763.0,6
2016-07-21,1,DAIRY,665.0,10
2016-07-21,1,GROCERY I,2365.0,40
2016-07-22,1,BEVERAGES,2250.0,12
2016-07-22,1,DAIRY,872.0,13
2016-07-22,1,GROCERY I,2755.0,41
2016-07-23,1,BEVERAGES,2025.0,6
2016-07-23,1,DAIRY,728.0,4
2016-07-23,1,GROCERY I,2329.0,35
2016-07-24,1,BEVERAGES,815.0,4
